Class,HTRU1,,,HTRU2,,,LOTAAS1,
,Mutual Infomation,JMI Rank,,MI,JMI,,MI,JMI
0,0.0621294198,5,,0.2512062159,8,,0.0337248645,10
1,0.0752175811,1,,0.2054946251,10,,0.0690594849,9
2,0.0633452674,4,,0.2678343813,2,,0.0733080261,2
3,0.0643273165,3,,0.2687540911,3,,0.084573819,1
4,2.23617502243E-05,19,,1.54841861309E-05,21,,9.02714796905E-05,20
5,0.0475584713,6,,0.2628657037,5,,0.0552895962,5
6,3.17741248129E-05,20,,1.54841861309E-05,22,,5.2605783836E-05,21
7,2.58380546289E-05,18,,0.0088904036,16,,0.0007205561,17
8,0.0313038421,9,,0.24181304,7,,0.067835026,7
9,7.08682741624E-05,17,,0.0001549237,20,,7.50612473444E-06,22
10,1.4621106024E-06,22,,0.2713067046,1,,0.0804574169,4
11,0.0243415218,11,,0.0629998337,11,,0.0006818429,16
12,0.0033403957,15,,0.0011569939,17,,0.0798214593,6
13,0.0031541222,14,,0.0108497431,15,,0.0260639781,11
14,0.0028968507,8,,0.0417302465,6,,0.0008895203,12
15,0.0022514428,16,,0.0009833972,18,,0.0819234387,3
16,0.0225679456,10,,0.0514665094,12,,0.0013371449,18
17,1.25323074184E-06,21,,0.0002712358,19,,0.0006450594,19
18,0.0173526989,12,,0.038509046,13,,0.0170807368,13
19,0.008487931,13,,0.0216693574,14,,0.0021825955,15
20,0.0318326465,7,,0.1214257539,4,,0.0503933624,8
21,0.0491150656,2,,0.2215887853,9,,0.0100838253,14
